Título,Engenharia
APLICAÇÃO DA ARQUITETURA SOA PARA A INTEGRAÇÃO DE SISTEMAS EMBARCADOS DE BAIXO CUSTO.,2
APLICAÇÃO DA ARQUITETURA SOA PARA A INTEGRAÇÃO DE SISTEMAS EMBARCADOS DE BAIXO CUSTO,2
ESTUDO DA VIABILIDADE DE IMPLANTAÇÃO DA ARQUITETURA SOA EM UM SISTEMA DE BAIXO CUSTO PARA INTERNET DAS COISAS,2
ESTUDO SOBRE A VIABILIDADE DO USO DE RESÍDUOS SOLIDOS PARA GERAÇÃO DE ENERGIA DE BIOGÁS NO CAMPUS BACANGA DA UFMA,3
CONCRETO REFORÇADO COM FIBRAS DE COCO BABAÇU: APLICAÇÃO E RESISTENCIA DO MATERIAL.,5
VIABILIDADE DO APROVEITAMENTO DA ENERGIA SOLAR A PARTIR DE PLACAS FOTOVOLTAICAS NA CIDADE DE SÃO LUÍS- MA,1
MAPEAMENTO DA OFERTA COMERCIAL DE MATERIAIS IMPERMEABILIZANTES PARA ARGAMASSA E CONCRETO USADO PELA CONSTRUÇÃO CIVIL NA CIDADE DE SÃO LUÍS/MA: UM ESTUDO DE CASO,1
ANALOGIA ENTRE O OSCILADOR HARMÔNICO E O CIRCUITO LC NOS CONTEXTOS CLÁSSICO E QUÂNTICO,0
FARDAS FÁCIL: UMA PROPOSTA DE APOIO COMERCIAL,0
GESTÃO DE RESÍDUOS DA CONSTRUÇÃO CIVIL: UM ESTUDO DE CASO,1
UM ESTUDO SOBRE MINERAÇÃO DE OPINIÃO: CONCEITOS E ABORDAGENS,2
APLICAÇÃO DE SOLOS TROPICAIS EM PAVIMENTOS FLEXÍVEIS,1
"DIAGNÓSTICO PARTICIPATIVO SOBRE RESÍDUOS SÓLIDOS URBANOS NO BAIRRO SÁ VIANA, SÃO LUÍS, MA, BRASIL",5
ORGANIZAÇÃO DOS CONTEIROS DE OBRAS COM FOCO NA MELHORIA DA QUALIDADE E PRODUTIVIDADE NA CONSTRUÇÃO CIVIL,1
ESTUDO DA REDUÇÃO DA ALCALINIDADE DO RESÍDUO DA BAUXITA,1
CONCRETO REFORÇADO COM FIBRAS DE COCO BABAÇU: APLICAÇÃO E RESISTENCIA DO MATERIAL.,1
ESTUDO DA CONTRIBUIÇÃO DA ALVENARIA NO SISTEMA DE CONTRAVENTAMENTO DE EDIFÍCIOS,1
INFLUÊNCIA DO FATOR ÁGUA/CIMENTO NA RESISTÊNCIA DO CONCRETO UTILIZANDO CIMENTO PORTLAND CP IV-32 RS,1
LEVANTAMENTO DOS ELEMENTOS QUÍMICOS UTILIZADOS NA CONSTRUÇÃO CIVIL: EMPREGO DOS METAIS ALCALINOS E ALCALINOS TERROSOS NOS MATERIAIS DE CONSTRUÇÃO,1
INTERFACE GRÁFICA DO USUÁRIO NO MATLAB PARA VISUALIZAÇÃO DE PROBLEMAS DE ENGENHARIA,0
INTERFACE GRÁFICA DO USUÁRIO NO MATLAB PARA VISUALIZAÇÃO DE PROBLEMAS DE ENGENHARIA,0
MAPEAMENTO E ANÁLISE DA OFERTA COMERCIAL DE MATERIAIS DE PINTURA PARA FACHADAS DE EDIFICAÇÕES EXECUTADAS NA CIDADE DE SÃO LUÍS/MA: UM ESTUDO DE CASO,1
UTILIZAÇÃO DO DRYWALL COMO VEDAÇÃO VERTICAL INTERNA,1
CONCRETO PRE-MOLDADO: UMA FERRAMENTA DE DINAMIZAÇÃO NOS PROCESSOS NA CONSTRUÇÃO CÍVIL,1
"O CONCRETO PRE-MOLDADO; UMA FERAMENTA DE DINAMIZAÇÃO DOS PROCESSOS NA CONSTRUÇÃO CIVIL: UM ESTUDO DE CASO NA PREDMIX, EM SÃO LUIS-MA",1
"O CONCRETO PRE-MOLDADO; UMA FERAMENTA DE DINAMIZAÇÃO DOS PROCESSOS NA CONSTRUÇÃO CIVIL: UM ESTUDO DE CASO NA PREDMIX, EM SÃO LUIS-MA",1
CONCRETO PRE-MOLDADO: UMA FERRAMENTA DE DINAMIZAÇÃO NOS PROCESSOS NA CONSTRUÇÃO CÍVIL,1
"DIAGNÓSTICO DO USO, POTENCIAL E VIABILIDADE DA PRODUÇÃO DE ENERGIA SOLAR, EÓLICA E DE BIOMASSA NO ESTADO DO MARANHÃO",2
"ESTUDO DE MÉTODOS PARA MANUTENÇÃO DAS MEMBRANAS DOS SISTEMAS DE OSMOSE REVERSA DO HOSPITAL CARLOS MACIEIRA NO MUNICÍPIO DE SÃO LUÍS, MARANHÃO",1
ANALISE DA RESISTENCIA DO CONCRETO COM UTILIZAÇÃO DE AREIA DO MAR DAS PRAIAS DE SÃO LUIS.,1
ESTUDO DE EFICIÊNCIA E POTENCIAL DE TURBINAS EÓLICAS COM BASE EM PARÂMETROS METEREOLÓGICOS PARA A CIDADE DE SÃO LUIS - MA,1
A EVOLUÇÃO DE TURBOCOMPRESSORES EM MOTORES DE COMBUSTÃO INTERNA,0
ANÁLISE DO FUNCIONAMENTO DE ECOPONTOS NO MUNICÍPIO DE SÃO LUÍS - MA.,1
ABRINDO OS DADOS PÚBLICOS DA UNIVERSIDADE FEDERAL DO MARANHÃO,2
UMA PROPOSTA PARA ABERTURA DOS DADOS PÚBLICOS DA UNIVERSIDADE FEDERAL DO MARANHÃO,2
PROJETO CASA CIDADÃ: ACESSIBILIDADE PARA A SOCIEDADE DE BAIXA RENDA DE SÃO LUÍS/MARANHÃO,0
TÉCNICAS DE REABILITAÇÃO APLICADAS EM ESTRUTURAS DE ALVENARIA ESTRUTURAL,1
FATORES MOTIVACIONAIS NA FORMAÇÃO DO PERFIL PROFISSIONAL DO JOVEM: UM ESTUDO EXPLORATÁRIO.,1
SEGURANÇA NA CONSTRUÇÃO CIVIL: UM ESTUDO DE CASO,1
UMA BREVE EXPLANAÇÃO SOBRE A MODELAGEM MATEMÁTICA DA PONTE TACOMA NARROWS,0
ESTUDO DE UMA METODOLOGIA PARA QUANTIFICAÇÃO E CONTROLE DE POSICIONAMENTO DE PAINÉIS SOLARES,5
MANEJO DAS ÁGUAS PLUVIAIS NO CENTRO PEDAGÓGICO PAULO FREIRE,1
MANEJO DAS ÁGUAS PLUVIAIS NO CENTRO PEDAGÓGICO PAULO FREIRE,1
O TEOREMA DE NOETHER E AS SIMETRIAS NA FÍSICA,1
ESTUDO DA REDUÇÃO DA ALCALINIDADE DO RESÍDUO DA BAUXITA,5
USO DE FIBRAS COMO MATERIAL DE CONSTRUÇÃO CIVIL,1
PROPOSTA DE GERAÇÃO DE ENERGIA ELÉTRICA ATRAVÉS DE MICROGERADORES EÓLICOS PARA ATENDIMENTO RESIDENCIAL NO LITORAL MARANHENSE,1
A UTILIZAÇÃO DOS RESÍDUOS SOLIDOS DA CONSTRUÇÃO CIVIL: UM FOCO NA REDUÇÃO DOS CUSTOS E NA QUALIDADE DOS PRODUTOS,1
UMA PROPOSTA PARA A PRODUÇÃO DE BLOCOS DE CONCRETO PRE-MOLDADOS SEM FINS ESTRUTURAIS A PARTIR DE AGREGADOS RECICLADOS,1
ESTUDO DE VIABILIDADE DA CRIAÇÃO DE UM PROVEDOR DE SERVIÇOS SOA EMBARCADO NA PLATAFORMA RASPBERRY PI,0
ATUAÇÃO DA RELAÇÃO AGUA/CIMENTO NAS PROPRIEDADES DO CONCRETO.,1
MAPEAMENTO DE AMBIENTES FECHADOS,2
FISSURAS EM ESTRUTURAS DE CONCRETO ARMADO E ALVENARIA: ESTUDO DE CASO NA UNIVERSIDADE FEDERAL DO MARANHÃO - CAMPUS BACANGA,2
POSICIONAMENTO E LOCALIZAÇÃO EM AMBIENTES FECHADOS.,2
POSICIONAMENTO E LOCALIZAÇÃO EM AMBIENTES FECHADO,2
"ESTUDO DE MÉTODOS PARA MANUTENÇÃO DAS MEMBRANAS DOS SISTEMAS DE OSMOSE REVERSA DO HOSPITAL CARLOS MACIEIRA NO MUNICÍPIO DE SÃO LUÍS, MARANHÃO",0
AVALIAÇÃO DA QUALIDADE DOS TIJOLOS CERÂMICOS QUANTO A NBR 15270,1
EDIFICAÇÕES SUSTENTÁVEIS,1
MANEJO DAS ÁGUAS PLUVIAIS NO CENTRO PEDAGÓGICOS PAULO FREIRE,1
CONSTRUÇÃO SUSTENTAVEL DE HABITAÇÕES A BAIXO CUSTO,1
CONSTRUÇÃO SUSTENTAVEL DE HABITAÇÕES A BAIXO CUSTO,1
ESTUDO DA VIABILIDADE PARA IMPLEMENTAÇÃO DE TECNOLOGIAS DE SMARTGRID EM CONSTRUÇÕES SUSTENTAVEIS NO MARANHÃO,0
FILA VIRTUAL: UM MODELO INOVADOR PARA FILAS DE RESTAURANTES UNIVERSITÁRIOS,2
FILA VIRTUAL: OCULTANDO O TEMPO DE ESPERA,2
ANALISE DAS OBRAS DE RESTAURAÇÃO E MANUTENÇÃO DE IMOVEIS TOMBADOS PELO PATRIMONIO HISTORICO: CUSTOS DE ORÇAMENTOS,1
AS CIDADES INVISÍVEIS E O ENGENHEIRO LEITOR,1
REABILITAÇÃO EM ESTRUTURAS DE CONCRETO ARMADO SOB INFLUÊNCIA DE AMBIENTE MARINHO. ESTUDO DE CASO EM UM CONDOMÍNIO RESIDENCIAL EM SÃO LUIS-MA,1
REAPROVEITAMENTO E RECICLAGEM DE RESÍDUOS SÓLIDOS NA CONSTRUÇÃO CIVIL.,1
VIABILIDADE DO USO DE CONTÊINERES PARA CONSTRUÇÕES COMERCIAIS EM SÃO LUÍS,1
CARACTERIZAÇÃO DO SISTEMA DE TRANSPORTE COLETIVO DE SÃO LUÍS DO MARANHÃO APÓS A INTEGRAÇÃO TARIFÁRIA,5
UM ESTUDO ANALÍTICO DO PÊNDULO SIMPLES EM REGIME NÃO LINEAR: FUNÇÕES ELÍPTICAS E INTEGRAIS ELÍPTICAS,1
OBTENÇÃO DE NANOESTRUTURAS AUTO-ORGANIZADAS DE BIOBR COM EMPREGO DE AMINOÁCIDOS E SUAS PROPRIEDADES FOTOCATALÍTICAS,1
"EFEITO DE AMINOÁCIDOS NA ESTRUTURA, MORFOLOGIA E PROPRIEDADES CATALÍTICAS E ÓPTICAS DE BIOBR POR MÉTODO ASSISTIDO POR MICROONDAS",1
CONCRETO REFORÇADO COM FIBRAS DE COCO BABAÇU,1
CARACTERIZAÇÃO DAS PROPRIEDADES FÍSICO-QUÍMICAS E TÉRMICAS DE ESCAMAS DE PEIXE DE UMA PEIXARIA DA ILHA DE SÃO LUÍS (MA) E UTILIZAÇÃO EM SISTEMAS DE TERMO-CONVERSÃO COM FINALIDADE ENERGÉTICA,3
PATOLOGIAS EM VIADUTOS - ESTUDO DE CASO DO ELEVADO DA COHAMA EM SÃO LUÍS _x0096_ MA,1
PATOLOGIAS EM VIADUTOS - ESTUDO DE CASO DO ELEVADO DA COHAMA EM SÃO LUÍS _x0096_ MA,0
ESTUDO DA VARIAÇÃO DE VALORES DO RSSI DO PADRÃO 802.11N PARA DETECÇÃO DE PRESENÇA DE BAIXA PRECISÃO,2
INVESTIGAÇÃO DAS PROPRIEDADES ÓPTICAS E FOTOCATALÍTICAS DE OXIHALETOS DE BISMUTO NANOESTRUTURADOS POR INTERMÉDIO DO MÉTODO HIDROTERMAL ASSISTIDO POR MICRO-ONDAS,5
AVALIAÇÃO DA IMPORTÂNCIA DO 5S NA CONSTRUÇÃO CIVIL.,1
LOGÍSTICA REVERSA DOS RESÍDUOS ELETRÔNICOS DE INFORMÁTICA NA UNIVERSIDADE FEDERAL DO MARANHÃO,0
LOGÍSTICA REVERSA DOS RESÍDUOS ELETRÔNICOS DE INFORMÁTICA NA UNIVERSIDADE FEDERAL DO MARANHÃO,0
CORROSÃO EM MATERIAIS E ESTRUTURA DE CONCRETO NA ZONA LITORÂNEA DA CIDADE DE SÃO LUÍS - MA,1
A PERSPECTIVA INTERDISCIPLINAR NA FORMAÇÃO DO PERFIL EMPREENDEDOR: UM ESTUDO EXPLORATÓRIO NO BACHARELADO INTERDISCIPLINAR DA UFMA.,1
GESTÃO DE RESÍDUOS GERADOS NOS EXPERIMENTOS DE SOLUBILIDADE E REAÇÃO QUÍMICA DO CURSO DE CIÊNCIA E TECNOLOGIA DA UFMA,5
PROPOSTA DE MANUAL DE DESCARTE DE RESÍDUOS QUÍMICOS PARA O LABORATÓRIO DE QUÍMICA DO CURSO DE CIÊNCIA E TECNOLOGIA DA UNIVERSIDADE FEDERAL DO MARANHÃO,5
"ESTUDO E ANÁLISE ELEMENTAR DE MINERAIS METÁLICOS EM PLANTAS MEDICINAIS CULTIVADAS NO ENTORNO DE ÁREA INDUSTRIAL: EXPLORAÇÃO NO POVOADO MÃE CHICA, ZONA RURAL DE LUÍS - MA.",0
CARACTERIZAÇÃO DO SISTEMA DE TRANSPORTE COLETIVO DE SÃO LUÍS DO MARANHÃO APÓS A INTEGRAÇÃO TARIFÁRIA,2
POTENCIALIDADE DO USO DE LODO DE EFLUENTES,1
CAUSAS E CONSEQUÊNCIA DOS ACIDENTES RELACIONADOS A TRABALHO EM ALTURA.,1
SUSTENTABILIDADE NA CONSTRUÇÃO CIVIL: CASAS ECOLÓGICAS,1
ANÁLISE GEOMÉTRICA E COMPUTACIONAL DE CÚPULAS,1
ABORDAGEM MATEMÁTICA PARA A APLICAÇÃO DO MÉTODO DOS ELEMENTOS FINITOS EM ESTRUTURAS RETICULARES DE DUAS DIMENSÕES,1
PROPOSTA DE MELHORIA ESTRUTURAL PARA BALANÇA RODOVIÁRIA DO PORTO DO ITAQUI,0
