Título,Engenharia
ORGANIZAÇÃO DOS CANTEIROS DE OBRAS: ESTUDO DE CASO COM FOCO NA MELHORIA DA QUALIDADE E PRODUTIVIDADE NA CONSTRUÇÃO CIVIL,1
RESÍDUOS SÓLIDOS DA CONSTRUÇÃO CIVIL: REUTILIZAÇÃO NA PRODUÇÃO DE CONCRETO,5
ENSAIO DE TORÇÃO A QUENTE PARA DETERMINAÇÃO DA TEMPERATURA DE NÃO RECRISTALIZAÇÃO DO AÇO 316L,1
AVALIAÇÃO FUNCIONAL OBJETIVA DE PAVIMENTO ASFÁLTICO ENTRE TRECHO DE SENTIDOS OPOSTOS DA AV. GETÚLIO VARGAS EM SÃO LUÍS-MA,1
ESTUDO DO SISTEMA DE ABASTECIMENTO DE ÁGUA DA CIDADE DE SÃO LUÍS - MA E A IMPLANTAÇÃO DE UM SISTEMA DE APROVEITAMENTO DE ÁGUA PLUVIAL COM AUXÍLIO DA AUTOMAÇÃO,0
VIABILIDADE TÉCNICA E ECONÔMICA DA PAREDE DE DRYWALL FRENTE A ALVENARIA DE TIJOLOS CERÂMICOS NO MUNICÍPIO DE SÃO LUÍS - MA,1
"ESTUDO E ANÁLISE ELEMENTAR DE MINERAIS METÁLICOS EM PLANTAS MEDICINAIS CULTIVADAS NO ENTORNO DE ÁREA INDUSTRIAL: EXPLORAÇÃO NO POVOADO MÃE CHICA, ZONA RURAL DE SÃO LUÍS - MA.",3
LOGÍSTICA REVERSA DOS RESÍDUOS ELETRÔNICOS DE INFORMÁTICA NA UNIVERSIDADE FEDERAL DO MARANHÃO,0
REABILITAÇÃO EM ESTRUTURAS DE CONCRETO ARMADO SOB INFLUÊNCIA DE AMBIENTE MARINHO. ESTUDO DE CASO EM UM CONDOMÍNIO RESIDENCIAL EM SÃO LUIS-MA,2
TUNELAMENTO QUÂNTICO UNIDIMENSIONAL E APLICAÇÕES DO EFEITO TÚNEL,1
ESTUDO E INTERMEDIAÇÃO DAS PATOLOGIAS DO CONCRETO NA ZONA LITORÂNEA DA CIDADE DE SÃO JOSÉ DE RIBAMAR-MA,1
ÁGUA RESIDUÁRIA DA PRODUÇÃO DE CONCRETO,1
ESTUDO DE VIABILIDADE DA PRODUÇÃO DE TIJOLOS SOLO-CIMENTO COM RESÍDUOSDA CONSTRUÇÃO CIVIL E A FIBRA DO COCO BABAÇU,1
RESÍDUOS PESQUEIROS: DESTINAÇÃO CORRETA EM UMA PERSPECTIVA AMBIENTAL,5
APLICAÇÃO DE ÍNDICE DE MOBILIDADE URBANA SUSTENTÁVEL NA UNIVERSIDADE FEDERAL DO MARANHÃO _x0096_ CAMPUS BACANGA,1
REVISÃO E ANÁLISE DE METODOLOGIAS DE PROJETO AERONÁUTICO,3
OTIMIZAÇÃO ESTRUTURAL DE VIGAS DE CONCRETO ARMADO DE ALTA RESISTÊNCIA DE SEÇÃO T UTILIZANDO O SOLVER,1
ESTATÍSTICA DE CRIMES VIOLENTOS LETAIS INTENCIONAIS NA REGIÃO METROPOLITANA DE SÃO LUÍS NO PERÍODO DE 2009 A 2017.,0
A UTILIZAÇÃO DE CONTÊINERES NA PRODUÇÃO DE HABITAÇÕES DE INTERESSE SOCIAL NO MUNICÍPIO DE SÃO LUIS/MA.,1
VIABILIDADE DO USO DE CONTÊINERES PARA CONSTRUÇÕES COMERCIAIS EM SÃO LUÍS,1
"ESTUDO GERAL SOBRE CONCRETO LEVE: COMPONENTES, PROPRIEDADES E APLICAÇÕES",1
POTENCIALIDADE DO USO DE LODO DE EFLUENTES,1
ANÁLISE ELEMENTAR DO MODELO MATEMÁTICO DA DIFUSÃO DE CLORETOS NO CONCRETO E PREVISÃO DA VIDA ÚTIL,1
RESÍDUOS PESQUEIROS: DESTINAÇÃO CORRETA EM UMA PERSPECTIVA AMBIENTAL,5
TRATAMENTO E DESINTOXICAÇÃO DE CORPOS DÁGUA ATRAVÉS DE ILHAS FLUTUANTES FORMADAS POR EICHHORNIA CRASSIPES (AGUAPÉ).,1
TUNELAMENTO QUÂNTICO UNIDIMENSIONAL E APLICAÇÕES DO EFEITO TÚNEL,0
"LAMA VERMELHA: CARACTERÍSTICAS, PRODUÇÃO E APLICAÇÕES NA CONSTRUÇÃO CIVIL",1
: APLICABILIDADE DO SISTEMA FOTOVOLTAICO PARA ALIMENTAÇÃO ENERGÉTICA DE CONDOMÍNIOS EM SÃO LUÍS DO MARANHÃO,0
CORROSÃO EM MATERIAIS E ESTRUTURA DE CONCRETO NA ZONA LITORÂNEA DA CIDADE DE SÃO LUÍS - MA,1
A PERSPECTIVA INTERDISCIPLINAR NA FORMAÇÃO DO PERFIL EMPREENDEDOR: UM ESTUDO EXPLORATÓRIO NO BACHARELADO INTERDISCIPLINAR DA UFMA.,1
CONCRETO REFORÇADO COM FIBRAS DE COCO BABAÇU,5
APROVEITAMENTO DE ENERGIA SOLAR PARA SISTEMAS FOTOVOLTAICOS VOLTADOS PARA RESIDÊNCIAS UNIFAMILIARES NA CIDADE DE SÃO LUÍS _x0096_ MA,1
RECONHECIMENTO FACIAL APLICADO À AUTOMATIZAÇÃO DO CADASTRO DE FREQUÊNCIA ESCOLAR,2
ACESSIBILIDADE NO CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA DA UNIVERSIDADE FEDERAL DO MARANHÃO A PESSOAS COM DEFICIÊNCIA FÍSICA E VISUAL,1
"LAMA VERMELHA: CARACTERÍSTICAS, PRODUÇÃO E APLICAÇÕES NA CONSTRUÇÃO CIVIL",1
"SISTEMAS ATIVOS DE PREVERÇÃO, RETARDO E COMBATE A INCÊNDIO: ESTUDO DE CASO DO PRÉDIO PAULO FREIRE",3
"GESTÃO, REAPROVEITAMENTO E RECICLAGEM DE RESÍDUOS SÓLIDOS NA CONSTRUÇÃO CIVIL",1
AVALIAÇÃO DO REAPROVEITAMENTO E RECICLAGEM DE RESÍDUOS SÓLIDOS NA CONSTRUÇÃO CIVIL. UM ESTUDO DE CASO EM CANTEIRO DE OBRAS.,1
ANÁLISE DE RECICLAGEM DO CONCRETO NA CONSTRUÇÃO CIVIL DO MUNICÍPIO DE SÃO LUÍS-MA,1
MINERAÇÃO DE OPINIÃO APLICADA ÀS ELEIÇÕES MUNICIPAIS DE SÃO LUÍS,2
ESTUDO DE VIABILIDADE DA PRODUÇÃO DE TIJOLOS SOLO-CIMENTO COM RESÍDUOSDA CONSTRUÇÃO CIVIL E A FIBRA DO COCO BABAÇU,1
AVALIAÇÃO DO USO DA ENERGIA SOLAR PARA O CONDICIONAMENTO TÉRMICO DE AMBIENTES NA CIDADE DE SÃO LUÍS - MA.,0
OTIMIZAÇÃO ESTRUTURAL DE VIGAS DE CONCRETO ARMADO DE ALTA RESISTÊNCIA DE SEÇÃO T UTILIZANDO O SOLVER,1
O SISTEMA DE POSICIONAMENTO GLOBAL (GPS) COMO APLICAÇÃO PRÁTICA DA TEORIA DA RELATIVIDADE GERAL,2
ORGANIZAÇÃO DOS CANTEIROS DE OBRAS: ESTUDO DE CASO COM FOCO NA MELHORIA DA QUALIDADE E PRODUTIVIDADE NA CONSTRUÇÃO CIVIL,1
ORGANIZAÇÃO DOS CANTEIROS DE OBRAS: ESTUDO DE CASO COM FOCO NA MELHORIA DA QUALIDADE E PRODUTIVIDADE NA CONSTRUÇÃO CIVIL,1
ABORDAGEM MATEMÁTICA PARA A APLICAÇÃO DO MÉTODO DOS ELEMENTOS FINITOS EM ESTRUTURAS RETICULARES DE DUAS DIMENSÕES,1
PROPOSTA DE MANUAL DE DESCARTE DE RESÍDUOS QUÍMICOS PARA O LABORATÓRIO DE QUÍMICA DO CURSO DE CIÊNCIA E TECNOLOGIA DA UNIVERSIDADE FEDERAL DO MARANHÃO,1
MANIFESTAÇÕES PATOLÓGICAS EM FACHADAS DE EDIFÍCIOS DO CENTRO HISTÓRICO DE SÃO LUÍS,1
CONCRETO REFORÇADO COM FIBRAS DE COCO BABAÇU,1
UTILIZAÇÃO DO DRYWALL COMO VEDAÇÃO VERTICAL INTERNA,1
VEDAÇÕES VERTICAIS ALTERNATIVAS: DRYWALL X BLOCOS DE CONCRETO,1
ESTUDO DAS PROPRIEDADES DO CONCRETO RECICLADO UTILIZANDO AGREGADOS GRAÚDOS RECICLADOS PARA APLICAÇÃO EM ELEMENTOS ESTRUTURAIS,1
INVESTIGAÇÃO DAS PROPRIEDADES ÓPTICAS E FOTOCATALÍTICAS DE OXIHALETOS DE BISMUTO NANOESTRUTURADOS POR INTERMÉDIO DO MÉTODO HIDROTERMAL ASSISTIDO POR MICRO-ONDAS,5
ASPECTOS TEÓRICOS DO OSCILADOR HARMÔNICO E SUA INTERAÇÃO COM O ATRITO SECO.,2
USO DE FIBRAS POLIMÉRICAS COMO MATERIAL DE CONSTRUÇÃO EM MATRIZES CIMENTÍCIAS,1
ANÁLISE GEOMÉTRICA E COMPUTACIONAL DE CÚPULAS.,1
VEDAÇÕES VERTICAIS ALTERNATIVAS: DRYWALL X BLOCOS DE CONCRETO,1
UTILIZAÇÃO DO DRYWALL COMO VEDAÇÃO VERTICAL INTERNA,1
REVISÃO E ANÁLISE DE METODOLOGIAS DE PROJETO AERONÁUTICO,0
GESTÃO DE RESÍDUOS GERADOS NOS EXPERIMENTOS DE SOLUBILIDADE E REAÇÃO QUÍMICA DO CURSO DE CIÊNCIA E TECNOLOGIA DA UFMA,1
PROPOSTA DE MANUAL DE DESCARTE DE RESÍDUOS QUÍMICOS PARA O LABORATÓRIO DE QUÍMICA DO CURSO DE CIÊNCIA E TECNOLOGIA DA UNIVERSIDADE FEDERAL DO MARANHÃO,1
REAPROVEITAMENTO DE RESÍDUOS DOMÉSTICOS ORGÂNICOS- UM PROJETO SOCIOAMBIENTAL NO C.E. ESTADUAL DR. GERALDO MELO EM SÃO LUÍS-MA,1
ACESSIBILIDADE NO CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA DA UNIVERSIDADE FEDERAL DO MARANHÃO A PESSOAS COM DEFICIÊNCIA FÍSICA E VISUAL,1
SISTEMA DE REFRIGERAÇÃO BASEADO EM TETOS RADIANTES: AVALIAÇÃO DE VIABILIDADE E VANTAGENS ECONÔMICAS NO ESTADO DO MARANHÃO,1
"ORÇAMENTO E CURVA ABC APLICADA A PROJETO DE REFORMA DE RESIDÊNCIAS CONFORME NORMA BRASILEIRA DE ACESSABILIDADE, A NBR 9050:2015, PARA CADEIRANTES.",0
ANÁLISE GEOMÉTRICA E COMPUTACIONAL DE CÚPULAS,1
ABORDAGEM MATEMÁTICA PARA A APLICAÇÃO DO MÉTODO DOS ELEMENTOS FINITOS EM ESTRUTURAS RETICULARES DE DUAS DIMENSÕES,1
ANÁLISE DE RECONHECIMENTO DE PADRÕES: UMA PROPOSTA DE NOVOS DESCRITORES GEOMÉTRICOS,0
ÁGUA RESIDUÁRIA NA PRODUÇÃO DE CONCRETO,3
MANEJO DAS ÁGUAS PLUVIAIS NO CENTRO PEDAGÓGICO PAULO FREIRE,1
IDENTIFICAÇÃO DA CERTIFICAÇÃO AMBIENTAL E DOS SISTEMAS DE AVALIAÇÃO EM EDIFÍCIOS COMO PARÂMETRO DE SUSTENTABILIDADE NA CONSTRUÇÃO CIVIL.,1
TRATAMENTO DA ÁGUA DE LAVAGEM DAS BANDEJAS DO RESTAURANTE UNIVERSITÁRIO/UFMA POR ELETROFLOCULAÇÃO,5
PATOLOGIAS EM EDIFICAÇÕES OCASIONADAS PELA ASCENSÃO CAPILAR,1
POTENCIALIDADE DO USO DE LODO DE EFLUENTES,1
PERCEPÇÃO DO ENGENHEIRO CIVIL QUANTO A UTILIZAÇÃO DE FIBRAS EM CONCRETO ESTRUTURAL: UM ESTUDO DE CASO,1
ESTUDO DE ASPECTOS GEOTÉCNICOS DO SOLO DE UMA ÁREA DE EXPANSÃO IMOBILIÁRIA EM SÃO LUÍS,1
ESTUDO DAS PROPRIEDADES DO CONCRETO RECICLADO UTILIZANDO AGREGADOS GRAÚDOS RECICLADOS PARA APLICAÇÃO EM ELEMENTOS ESTRUTURAIS,1
ESTUDO E INTERMEDIAÇÃO DAS PATOLOGIAS DO CONCRETO NA ZONA LITORÂNEA DA CIDADE DE SÃO JOSÉ DE RIBAMAR-MA,1
MANIFESTAÇÕES PATOLÓGICAS EM FACHADAS DE EDIFÍCIOS DO CENTRO HISTÓRICO DE SÃO LUÍS,1
ANÁLISE DA RECICLAGEM DO CONCRETO NA CONSTRUÇÃO CIVIL DO MUNICÍPIO DE SÃO LUÍS-MA,1
TUNELAMENTO QUÂNTICO UNIDIMENSIONAL E APLICAÇÕES DO EFEITO TÚNEL,0
OSCILAÇÃO HARMÔNICA DE UMA PARTÍCULA PONTUAL NO INTERIOR DA TERRA SOB INTERAÇÃO GRAVITACIONAL.,1
LEVANTAMENTO BIBLIOGRÁFICO ACERCA DA INCLUSÃO E DA ACESSIBILIDADE,0
ANÁLISE DA RECICLAGEM DO CONCRETO NA CONSTRUÇÃO CIVIL DO MUNICÍPIO DE SÃO LUÍS-MA,1
UMA ARQUITETURA PARA MAPEAMENTO E LOCALIZAÇÃO EM AMBIENTES FECHADOS,2
ESTATÍSCA DE CRIMES VIOLENTOS LETAIS INTENCIONAIS NA REGIÃO METROPOLITANA DA GRANDE SÃO LUIS NO PERÍODO DE 2009 À 2017,1
"ESTUDO DO SISTEMA DE ABASTECIMENTO DE ÁGUA DA CIDADE DE SÃO LUÍS: FONTES E SISTEMAS DE DISTRIBUIÇÃO, IMPLANTAÇÃO DE UM SISTEMA DE APROVEITAMENTO DE ÁGUA PLUVIAL EM SÃO LUÍS - MA",5
VIABILIDADE DO USO DE CONTÊINERES PARA CONSTRUÇÕES COMERCIAIS EM SÃO LUÍS,1
ANÁLISE DA VIABILIDADE PARA APLICAÇÃO DA TECNOLOGIA SMART GRID EM CONSTRUÇÕES SUSTENTÁVEIS NO MARANHÃO,0
CAUSAS E CONSEQUÊNCIA DOS ACIDENTES RELACIONADOS A TRABALHO EM ALTURA.,1
SISTEMA DE REFRIGERAÇÃO BASEADO EM TETOS RADIANTES: AVALIAÇÃO DE VIABILIDADE E VANTAGENS ECONÔMICAS NO ESTADO DO MARANHÃO,1
AVALIAÇÃO DA IMPORTÂNCIA DO 5S NA CONSTRUÇÃO CIVIL.,2
ESTUDO E INTERMEDIAÇÃO DAS PATOLOGIAS DO CONCRETO NA ZONA LITORÂNEA DA CIDADE DE SÃO JOSÉ DE RIBAMAR-MA,1
"GESTÃO, REAPROVEITAMENTO E RECICLAGEM DE RESÍDUOS SÓLIDOS NA CONSTRUÇÃO CIVIL",1
AVALIAÇÃO DO REAPROVEITAMENTO E RECICLAGEM DE RESÍDUOS SÓLIDOS NA CONSTRUÇÃO CIVIL. UM ESTUDO DE CASO EM CANTEIRO DE OBRAS.,1
SUSTENTABILIDADE NA CONSTRUÇÃO CIVIL: CASAS ECOLÓGICAS,1
"GESTÃO DE RESÍDUOS SÓLIDOS: OS OBSTÁCULOS PARA IMPLANTAÇÃO DO GERENCIAMENTO INTEGRADO NO MUNICÍPIO DE SÃO LUÍS, MARANHÃO",5
RESÍDUOS PESQUEIROS: DESTINAÇÃO CORRETA EM UMA PERSPECTIVA AMBIENTAL,1
DESEMPENHO ACÚSTICO DE EDIFICAÇÕES HABITACIONAIS: DESAFIOS PARA IMPLEMENTAÇÃO DA NORMA DE DESEMPENHO.,1
ESTUDO DA RESISTÊNCIA MECÂNICA DA ARGAMASSA DE REVESTIMENTO,1
MULHERES COMPUTADORAS,3
"MULHERES COMPUTADORAS: PIONEIRISMO, SUPERAÇÃO E INSPIRAÇÃO EM ESTRELAS ALÉM DO TEMPO, DE MARGOT LEE SHETTERLY",3
ESTUDO DA INCORPORAÇÃO DE CINZAS DA CASCA DE ARROZ AOS TIJOLOS DE SOLO CIMENTO COMO SUBSTITUIÇÃO PARCIAL DO CIMENTO PORTLAND,1
AVALIAÇÃO FUNCIONAL OBJETIVA E DIAGNÓSTICO DO PAVIMENTO ENTRE TRECHOS DE SENTIDOS OPOSTOS DA AVENIDA DANIEL DE LA TOUCHE.,1
ESTRUTURAS HIERÁRQUICAS DE OXIHALETOS DE BISMUTO E SUAS PROPRIEDADES FOTOCATALÍTICAS,5
UM MODELO DE UNIVERSO ETERNO A PARTIR DA ELETRODINÂMICA ACOPLADA COM A GRAVIDADE.,1
ESTUDO DAS CARACTERÍSTICAS E DA VIABILIDADE DE PAVIMENTOS MODIFICADOS POR BORRACHA DE PNEUS,1
AVALIAÇÃO DE EICHHORNIA CRASSIPES (AGUAPÉ) COMO FITORREMEDIAORA DE METAIS PESADOS.,1
ANÁLISE GEOMÉTRICA E COMPUTACIONAL DE CÚPULAS,1
CARACTERIZAÇÃO DA CERÂMICA DO MUNICÍPIO DE ITAPECURU-MIRIM / MA,0
CARTILHA COMO AUXILIAR PARA GERENCIAMENTO SUSTENTÁVEL DE RESÍDUOS DE OBRAS DOMÉSTICAS DA CONSTRUÇÃO CIVIL,1
PLANEJAMENTO DE CARTILHA PARA GERENCIAMENTO SUSTENTÁVEL DE RESÍDUOS NA CONSTRUÇÃO CIVIL,1
ESTUDO DA AVALIAÇÃO AO FUNCIONAL OBJETIVA DO PAVIMENTO ASFALTICO ENTRE TRECHOS DE SENTIDOS OPOSTOS DA AV. GETULIO VARGAS - SÃO LUÍS/MA,1
ACESSIBILIDADE :UM ESTUDO DE CASO APLICADO AO CENTRO PEDAGÓGICO PAULO FREIRE DA UNIVERSIDADE FEDERAL DO MARANHÃO.,1
"AVALIAÇÃO DO TEOR DE FERRO EM AMOSTRAS DE CHÁS DE ERVAS MEDICINAIS PROVENIENTES DO POVOADO MÃE CHICA, ZONA RURAL DE SÃO LUÍS - MA.",3
LOGÍSTICA REVERSA: ANÁLISE DE IMPLEMENTAÇÃO DO CENTRO DE DESCARTE E REUSO DOS RESÍDUOS ELETRÔNICOS DE INFORMÁTICA NA UNIVERSIDADE FEDERAL DO MARANHÃO.,0
ESTUDO SOBRE O USO DA IMPRESSÃO 3D NA CONSTRUÇÃO CIVIL,1
AVALIAÇÃO DO USO DA ÁGUA RESIDUÁRIA NA PRODUÇÃO DE CONCRETO,1
PATOLOGIAS EM FACHADA DE EDIFICAÇÃO: UM ESTUDO DE CASO NO CENTRO HISTÓRICO DE SÃO LUÍS/MA,0
REVISÃO BIBLIOGRÁFICA E ANÁLISE DE METODOLOGIAS DE PROJETO AERONÁUTICO,3
REVISÃO BIBLIOGRÁFICA E ANÁLISE DE METODOLOGIAS DE PROJETO AERONÁUTICO,3
ESTUDO DA RESISTÊNCIA MECÂNICA DA ARGAMASSA DE REVESTIMENTO,1
DESEMPENHO ACÚSTICO DE EDIFICAÇÕES HABITACIONAIS: DESAFIOS PARA IMPLEMENTAÇÃO DA NORMA DE DESEMPENHO.,1
TÓPICOS DE CÁLCULO ESTOCÁSTICO COM APLICAÇÕES EM FINANÇAS.,1
"PROPOSTA DE IMPLEMENTAÇÃO DE UMA ESTAÇÃO DE TRATAMENTO DE ESGOTO NAS IMEDIAÇÕES DA UNIVERSIDADE FEDERAL DO MARANHÃO, CAMPUS BACANGA - SÃO LUIS.",1
ESTUDO DA OBTENÇÃO DE BIOGÁS POR MEIO DA UTILIZAÇÃO DE REATORES ANAERÓBIOS EM TRATAMENTO DE EFLUENTES RESIDUAIS,1
AVALIAÇÃO DE EICHHORNIA CRASSIPES (AGUAPÉ) COMO FITORREMEDIAORA DE METAIS PESADOS.,1
ESTUDO SOBRE O USO DA IMPRESSÃO 3D NA CONSTRUÇÃO CIVIL,0
ACESSIBILIDADE NO CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA DA UNIVERSIDADE FEDERAL DO MARANHÃO A PESSOAS COM DEFICIÊNCIA FÍSICA E VISUAL,1
ENERGIA FOTOVOLTAICA COMO FONTE DE ALIMENTAÇÃO ENERGÉTICA DE ÁREAS COMUNS EM CONDOMÍNIOS DE SÃO LUÍS DO MARANHÃO,0
CARTILHA COMO AUXILIAR PARA GERENCIAMENTO SUSTENTÁVEL DE RESÍDUOS DE OBRAS DOMÉSTICAS DA CONSTRUÇÃO CIVIL,1
PLANEJAMENTO DE CARTILHA PARA GERENCIAMENTO SUSTENTÁVEL DE RESÍDUOS NA CONSTRUÇÃO CIVIL,1
"FONTES HISTÓRICAS DE ABASTECIMENTO DE ÁGUA E SEUS USOS CONTEMPORÂNEOS: SÃO LUÍS, MA, BRASIL.",0
LEVANTAMENTO E IDENTIFICAÇÃO MANIFESTAÇÕES PATOLÓGICAS EM FACHADAS DE EDIFÍCIOS DO CENTRO HISTÓRICO DE SÃO LUÍS _x0096_ UM ESTUDO DE CASO,1
MANIFESTAÇÕES PATOLÓGICAS NA CONSTRUÇÃO CIVIL: LEVANTAMENTO TERMINOLÓGICO E PROPOSIÇÃO DE GLOSSÁRIO,1
ANÁLISE DE VIBRAÇÕES ATRAVÉS DO MEDIDOR EXTECH MODELO 407860,2
ESTRUTURAS HIERÁRQUICAS DE OXIHALETOS DE BISMUTO E SUAS PROPRIEDADES FOTOCATALÍTICAS,5
INFLUÊNCIA DAS FIBRAS DE POLIÉSTER NO DESEMPENHO DE ARGAMASSA CIMENTÍCIA,1
ESTUDO DA VIABILIDADE DA UTILIZAÇÃO DO ADOBE COMO ESTRUTURA DE COMPOSTEIRAS:,1
ANÁLISE GEOMÉTRICA E COMPUTACIONAL DE CÚPULAS,1
ESTUDO DAS CARACTERÍSTICAS E DA VIABILIDADE DE PAVIMENTOS MODIFICADOS POR BORRACHA DE PNEUS,1
ACIDEZ DE SOLOS: ESTUDO DE COMPONENTES MINERAIS E PH EM LOCALIDADE DE AGRICULTURA FAMILIAR NA ZONA RURAL DO MUNICÍPIO DE SÃO JOSÉ DE RIBAMAR-MA,0
MANIFESTAÇÕES PATOLÓGICAS NA CONSTRUÇÃO CIVIL: LEVANTAMENTO TERMINOLÓGICO E PROPOSIÇÃO DE GLOSSÁRIO,1
SISTEMA DE REFRIGERAÇÃO BASEADOS EM TETOS RADIANTES EM SALA DE AULA: AVALIAÇÃO DO CONFORTO TÉRMICO E VANTAGENS ECONÔMICAS,1
"PROPOSTA DE IMPLEMENTAÇÃO DE UMA ESTAÇÃO DE TRATAMENTO DE ESGOTO NAS IMEDIAÇÕES DA UNIVERSIDADE FEDERAL DO MARANHÃO, CAMPUS BACANGA - SÃO LUIS.",1
ESTUDO DA OBTENÇÃO DE BIOGÁS POR MEIO DA UTILIZAÇÃO DE REATORES ANAERÓBIOS EM TRATAMENTO DE EFLUENTES RESIDUAIS,1
AVALIAÇÃO DE EICHHORNIA CRASSIPES (AGUAPÉ) COMO FITORREMEDIAORA DE METAIS PESADOS.,1
ESTUDO DA RESISTÊNCIA MECÂNICA DA ARGAMASSA DE REVESTIMENTO,1
DESEMPENHO ACÚSTICO DE EDIFICAÇÕES HABITACIONAIS: DESAFIOS PARA IMPLEMENTAÇÃO DA NORMA DE DESEMPENHO.,1
ANÁLISE GEOMÉTRICA E COMPUTACIONAL DE CÚPULAS,1
AVALIAÇÃO DO USO DE ÁGUA RESIDUÁRIA NA PRODUÇÃO DE CONCRETO.,3
DETECÇÃO DE MICRORGANISMOS PRODUTORES DE COMPOSTOS ATIVOS DE SUPERFÍCIE EM SEDIMENTOS DE MANGUE NA CIDADE DE SÃO LUÍS DO MARANHÃO,1
DETECÇÃO DE MICRORGANISMOS PRODUTORES DE COMPOSTOS ATIVOS DE SUPERFÍCIE EM SEDIMENTOS DE MANGUE NA CIDADE DE SÃO LUÍS DO MARANHÃO,1
DESENVOLVIMENTO DE UM SISTEMA DE MONITORAMENTO PARA DATA CENTER BASEADO EM INTERNET DAS COISAS,0
TRATAMENTO DA ÁGUA DE LAVAGEM DAS BANDEJAS DO RESTAURANTE UNIVERSITÁRIO/UFMA POR ELETROFLOCULAÇÃO,5
CARACTERIZAÇÃO DA CERÂMICA DO MUNICÍPIO DE ITAPECURU-MIRIM / MA,1
DESENVOLVIMENTO DE UM SISTEMA DE MONITORAMENTO PARA DATA CENTER BASEADO EM INTERNET DAS COISAS,0
LEVANTAMENTO E IDENTIFICAÇÃO MANIFESTAÇÕES PATOLÓGICAS EM FACHADAS DE EDIFÍCIOS DO CENTRO HISTÓRICO DE SÃO LUÍS _x0096_ UM ESTUDO DE CASO,1
ANÁLISE DAS MANIFESTAÇÕES PATOLÓGICAS NO VIADUTO DO CAFÉ - SÃO LUÍS - MA,1
ANÁLISE DAS MANIFESTAÇÕES PATOLÓGICAS NO VIADUTO DO CAFÉ - SÃO LUÍS - MA,1
ESTUDO SOBRE O USO DA IMPRESSÃO 3D NA CONSTRUÇÃO CIVIL,0
ACIDEZ DE SOLOS: ESTUDO DE COMPONENTES MINERAIS E PH EM LOCALIDADE DE AGRICULTURA FAMILIAR NA ZONA RURAL DO MUNICÍPIO DE SÃO JOSÉ DE RIBAMAR-MA,1
LEVANTAMENTO E IDENTIFICAÇÃO MANIFESTAÇÕES PATOLÓGICAS EM FACHADAS DE EDIFÍCIOS DO CENTRO HISTÓRICO DE SÃO LUÍS _x0096_ UM ESTUDO DE CASO,1
"PROPOSTA DE IMPLEMENTAÇÃO DE UMA ESTAÇÃO DE TRATAMENTO DE ESGOTO NAS IMEDIAÇÕES DA UNIVERSIDADE FEDERAL DO MARANHÃO, CAMPUS BACANGA - SÃO LUIS.",1
UTILIZAÇÃO DE REATORES AERÓBIOS PARA O TRATAMENTO DE ÁGUAS RESIDUAIS DO SISTEMA DE ESGOTO EM SÃO LUÍS-MA,1
DIAGNÓSTICO DOS RESÍDUOS SÓLIDOS DA CONSTRUÇÃO CIVIL EM SÃO LUÍS - MA,1
RESÍDUOS SÓLIDOS NA CONSTRUÇÃO CIVIL: ANÁLISE CRÍTICA EM OBRAS DE SÃO LUÍS-MA,1
REAPROVEITAMENTO DE RESÍDUOS DOMÉSTICOS ORGÂNICOS: UM PROJETO SOCIOAMBIENTAL NO CENTRO DE ENSINO ESTADUAL DR. GERALDO MELO EM SÃO LUÍS-MA,1
DIAGNÓSTICO DOS RESÍDUOS SÓLIDOS DA CONSTRUÇÃO CIVIL EM SÃO LUÍS - MA,1
RESÍDUOS SÓLIDOS NA CONSTRUÇÃO CIVIL: ANÁLISE CRÍTICA EM OBRAS DE SÃO LUÍS-MA,1
ESTATÍSTICA DE CRIMES VIOLENTOS LETAIS INTENCIONAIS NA REGIÃO METROPOLITANA DA GRANDE SÃO LUIS NO PERÍODO DE 2009 À 2017.,1
CARACTERIZAÇÃO DA CERÂMICA DO MUNICÍPIO DE ITAPECURU-MIRIM / MA,1
"ESTUDO GERAL SOBRE CONCRETO LEVE: COMPONENTES, PROPRIEDADES E APLICAÇÕES",1
USO DE ENERGIA SOLAR PARA SISTEMAS FOTOVOLTAICOS VOLTADOS PARA RESIDENCIAIS NA CIDADE DE SÃO LUÍS - MA,0
MULHERES COMPUTADORAS,3
"MULHERES COMPUTADORAS: PIONEIRISMO, SUPERAÇÃO E INSPIRAÇÃO EM ESTRELAS ALÉM DO TEMPO, DE MARGOT LEE SHETTERLY",3
DETECÇÃO DE MICRORGANISMOS PRODUTORES DE COMPOSTOS ATIVOS DE SUPERFÍCIE EM SEDIMENTOS DE MANGUE NA CIDADE DE SÃO LUÍS DO MARANHÃO,1
DETECÇÃO DE MICRORGANISMOS PRODUTORES DE COMPOSTOS ATIVOS DE SUPERFÍCIE EM SEDIMENTOS DE MANGUE NA CIDADE DE SÃO LUÍS DO MARANHÃO,1
SISTEMA DE REFRIGERAÇÃO BASEADOS EM TETOS RADIANTES EM SALA DE AULA: AVALIAÇÃO DO CONFORTO TÉRMICO E VANTAGENS ECONÔMICAS,1
